Player Name,Team
Aaron RAMSEY,Arsenal
Alexandre SONG,Arsenal
Alex OXLADE-CHAMBERLAIN,Arsenal
Armand TRAORE,Arsenal
Francis COQUELIN,Arsenal
Marouane CHAMAKH,Arsenal
Mikel ARTETA,Arsenal
Per MERTESACKER,Arsenal
Yossi BENAYOUN,Arsenal
Samir NASRI,Arsenal
Nicklas BENDTNER,Arsenal
Ignasi MIQUEL,Arsenal
Andre SANTOS,Arsenal
Henri LANSBURY,Arsenal
Yao GERVINHO,Arsenal
Wojciech SZCZESNY,Arsenal
Carl JENKINSON,Arsenal
Thomas VERMAELEN,Arsenal
Park CHU-YOUNG,Arsenal
Nico YENNARIS,Arsenal
Andrey ARSHAVIN,Arsenal
Thierry HENRY,Arsenal
Bacary SAGNA,Arsenal
Sebastien SQUILLACI,Arsenal
Tomas ROSICKY,Arsenal
Johan DJOUROU,Arsenal
Emmanuel FRIMPONG,Arsenal
Kieran GIBBS,Arsenal
Laurent KOSCIELNY,Arsenal
Robin VAN PERSIE,Arsenal
Abou DIABY,Arsenal
Theo WALCOTT,Arsenal
Stephen WARNOCK,Aston Villa
Shay GIVEN,Aston Villa
Richard DUNNE,Aston Villa
Marc ALBRIGHTON,Aston Villa
Nathan BAKER,Aston Villa
Eric LICHAJ,Aston Villa
Barry BANNAN,Aston Villa
Chris HERD,Aston Villa
Stiliyan PETROV,Aston Villa
Luke YOUNG,Aston Villa
Darren BENT,Aston Villa
Jermaine JENAS,Aston Villa
Samir CARRUTHERS,Aston Villa
Gary GARDNER,Aston Villa
Nathan DELFOUNESO,Aston Villa
Carlos CUELLAR,Aston Villa
Stephen IRELAND,Aston Villa
James COLLINS,Aston Villa
Alan HUTTON,Aston Villa
Ciaran CLARK,Aston Villa
Robbie KEANE,Aston Villa
Andreas WEIMANN,Aston Villa
Emile HESKEY,Aston Villa
Fabian DELPH,Aston Villa
Gabriel AGBONLAHOR,Aston Villa
Charles N'ZOGBIA,Aston Villa
Brad GUZAN,Aston Villa
Adam HENLEY,Blackburn Rovers
Christopher SAMBA,Blackburn Rovers
Jordan SLEW,Blackburn Rovers
Anthony MODESTE,Blackburn Rovers
Mark BUNN,Blackburn Rovers
Josh MORRIS,Blackburn Rovers
Yakubu AYEGBENI,Blackburn Rovers
Vincenzo GRELLA,Blackburn Rovers
Marcus OLSSON,Blackburn Rovers
Simon VUKCEVIC,Blackburn Rovers
Scott DANN,Blackburn Rovers
Jason LOWE,Blackburn Rovers
Gael GIVET,Blackburn Rovers
Ryan NELSEN,Blackburn Rovers
Bradley ORR,Blackburn Rovers
Brett EMERTON,Blackburn Rovers
Radosav PETROVIC,Blackburn Rovers
Jake KEAN,Blackburn Rovers
Grant HANLEY,Blackburn Rovers
Michel SALGADO,Blackburn Rovers
David GOODWILLIE,Blackburn Rovers
Steven N'ZONZI,Blackburn Rovers
Mauro FORMICA,Blackburn Rovers
Morten GAMST PEDERSEN,Blackburn Rovers
Jason ROBERTS,Blackburn Rovers
David DUNN,Blackburn Rovers
Paul ROBINSON,Blackburn Rovers
Ruben ROCHINA,Blackburn Rovers
Martin OLSSON,Blackburn Rovers
David HOILETT,Blackburn Rovers
Nick BLACKMAN,Blackburn Rovers
Samuel RICKETTS,Bolton Wanderers
Fabrice MUAMBA,Bolton Wanderers
Tim REAM,Bolton Wanderers
Chung-Yong LEE,Bolton Wanderers
Darren PRATLEY,Bolton Wanderers
